age,annual_income,total_debt,dependents,savings,credit_score,credit_utilization,missed_payments,employment_length,loan_amount,loan_term_months,defaulted
25,18227,17342,0,4531,575,0.63,4,8,7333,60,1
46,34871,32462,4,18502,633,0.62,4,24,12556,24,1
24,14625,10328,0,4859,589,0.47,2,11,8492,24,0
40,17960,3012,3,4103,752,0.11,2,10,3722,48,0
44,35384,33555,3,21093,592,0.63,6,5,4583,48,1
60,19693,13207,0,1781,693,0.45,2,9,6618,36,0
49,16862,17648,3,4390,560,0.7,5,8,6333,12,1
35,17667,12660,2,9209,688,0.48,5,5,10038,24,1
44,16067,4439,1,8503,779,0.18,1,21,4357,36,0
29,12180,4188,1,2765,706,0.23,1,12,2947,36,0
46,19846,6219,4,2245,782,0.21,1,0,3852,60,0
63,16255,5246,4,1278,739,0.22,1,10,4811,60,0
47,25211,6071,2,7125,793,0.16,0,22,5178,36,0
29,67838,66888,1,27777,581,0.66,3,14,23954,48,1
60,46904,52040,3,19278,561,0.74,4,4,16643,48,1
59,29544,38247,4,7905,500,0.86,7,24,6368,36,1
25,37092,5103,0,9855,772,0.09,0,15,19264,60,0
28,18049,14047,3,10777,641,0.52,3,16,6977,12,1
21,32705,35865,2,6023,651,0.73,6,1,5836,48,1
32,45790,41420,0,24906,540,0.6,3,4,9478,60,1
27,49099,29654,1,29036,682,0.4,3,8,8889,48,0
40,23946,12623,0,8321,692,0.35,3,3,5422,48,0
26,30483,26872,3,11307,619,0.59,3,11,12987,60,1
45,49252,21950,3,5580,716,0.3,1,3,10294,36,0
21,35465,29246,0,6048,650,0.55,4,15,11536,12,1
55,47987,49709,4,23969,635,0.69,6,15,6249,60,1
30,26957,18046,2,15535,636,0.45,5,12,9883,12,0
35,32007,31384,1,8891,590,0.65,4,15,6358,36,1
59,47807,30552,3,17233,663,0.43,3,2,20429,12,0
25,22336,24545,2,6606,568,0.73,5,19,11141,60,1
30,36293,8399,2,8206,821,0.15,1,21,6113,24,0
44,27338,32542,3,14000,505,0.79,5,2,7336,60,1
56,38633,27751,0,13552,652,0.48,2,22,16565,36,0
24,11042,9187,2,3986,634,0.55,5,2,5624,60,1
29,17461,11810,4,904,592,0.45,2,1,4419,36,0
40,32817,39380,3,12479,527,0.8,4,6,14347,36,1
22,24636,4601,1,5647,814,0.12,3,1,11746,60,0
21,30964,15422,3,2464,724,0.33,2,22,6764,36,0
37,37208,46297,0,12344,521,0.83,4,9,4735,12,1
52,23048,12123,4,7839,721,0.35,2,23,11912,48,0
50,25432,27379,0,10833,520,0.72,4,1,3381,48,1
49,24625,14151,2,5792,603,0.38,2,2,4626,12,0
28,33036,16011,3,13156,673,0.32,3,0,10443,24,0
44,16662,1934,3,3527,850,0.08,1,0,5556,36,0
31,40222,30154,1,14241,595,0.5,3,1,7388,12,1
62,42997,28907,2,25012,648,0.45,3,17,23622,36,0
56,36444,45332,2,18566,667,0.83,6,10,15623,36,1
21,62212,56414,4,15733,567,0.6,3,9,21377,60,1
28,44033,40419,2,8516,611,0.61,5,14,19714,60,1
44,9807,11294,1,1077,556,0.77,6,23,1547,12,1
49,33030,25629,0,6988,594,0.52,3,19,15799,36,1
53,24351,5126,2,3274,801,0.14,2,11,10757,36,0
42,10239,8664,1,2366,614,0.56,3,12,1097,36,0
57,26617,21631,3,4108,675,0.54,3,3,10605,12,0
56,26583,21462,3,5235,672,0.54,3,5,3970,36,0
54,49954,46903,0,19078,624,0.63,3,16,29838,12,1
24,21477,4908,1,2446,829,0.15,2,1,5025,48,0
48,14525,6925,1,2134,734,0.32,1,10,4940,12,0
54,25077,5593,2,10961,759,0.15,3,23,9961,36,0
40,32199,34877,2,2909,590,0.72,6,16,7270,12,1
48,61079,25580,1,16631,712,0.28,2,6,9692,60,0
25,30151,15038,2,6248,716,0.33,1,2,11631,36,0
40,10706,10168,3,3813,629,0.63,5,18,2422,24,1
54,25766,22646,1,3512,608,0.59,4,3,9128,60,1
51,21249,8840,0,4759,783,0.28,4,20,9018,24,0
58,26000,13073,4,11157,701,0.34,2,3,13726,24,0
30,44447,40527,0,22739,669,0.61,4,13,5829,36,1
50,38973,24311,0,13213,720,0.42,3,1,12180,12,0
38,38014,33212,1,8225,556,0.58,3,24,15748,12,1
52,28751,16520,2,5247,675,0.38,3,1,9019,48,0
23,27070,14968,0,10952,764,0.37,2,9,12835,48,0
40,26177,16327,4,14083,636,0.42,2,12,14591,24,0
39,30036,13798,0,5389,769,0.31,3,23,11404,36,0
42,33489,22800,1,15204,681,0.45,2,14,4358,12,0
24,13814,6025,4,1431,803,0.29,1,22,6561,12,0
32,83354,67623,3,42799,634,0.54,4,24,38508,24,1
37,12298,8078,1,4668,700,0.44,2,14,2501,60,0
33,30253,9262,0,1620,751,0.2,2,18,15052,12,0
50,23185,13921,1,6795,608,0.4,3,18,3903,60,0
64,28486,34875,1,1731,533,0.82,4,0,14145,24,1
62,14313,15378,0,5897,567,0.72,5,17,7927,24,1
30,51149,10863,0,27471,824,0.14,1,15,27129,12,0
33,27661,25848,1,8785,580,0.62,3,19,5053,48,1
24,39751,42343,1,11253,573,0.71,4,4,8458,12,1
35,21563,25598,4,5297,593,0.79,6,15,11267,36,1
41,21392,15332,3,1745,641,0.48,3,11,4282,12,0
36,69650,72395,2,40573,620,0.69,4,2,37581,12,1
56,32361,6211,0,7743,819,0.13,0,23,18520,48,0
25,21522,5815,4,4448,826,0.18,1,10,9619,12,0
64,50555,47335,1,16287,634,0.62,5,19,5644,60,1
29,37169,34160,1,21487,583,0.61,4,17,10756,60,1
47,41715,41788,3,3522,586,0.67,7,18,11429,48,1
64,19600,13010,0,7687,674,0.44,3,3,3703,60,0
44,21060,6278,0,12511,822,0.2,3,7,11596,36,0
34,48964,41159,3,19604,580,0.56,3,15,12503,36,1
60,28855,10915,3,3594,732,0.25,1,15,9789,36,0
24,21424,2734,2,7512,823,0.09,1,4,2436,24,0
50,40773,16136,1,10975,730,0.26,4,15,8297,48,0
33,58356,72906,2,11687,614,0.83,6,17,13470,12,1
33,21675,3168,0,11797,797,0.1,1,18,11214,24,0
36,26500,13677,0,5458,711,0.34,4,19,7621,24,0
50,68034,59568,2,32566,585,0.58,4,20,23241,24,1
29,38971,17491,4,23038,626,0.3,1,0,13579,36,0
59,24716,18570,2,7687,610,0.5,4,13,6038,24,1
27,20322,25436,1,11137,485,0.83,5,14,8635,36,1
42,14331,8910,3,6149,644,0.41,2,23,4475,60,0
48,8270,10525,0,2561,532,0.85,6,21,3764,60,1
28,34503,40806,4,3663,523,0.79,4,7,7837,12,1
38,19013,14044,3,1453,577,0.49,3,15,4986,24,1
63,21388,27637,1,7299,506,0.86,5,8,11734,24,1
26,34167,26588,4,11645,682,0.52,5,12,4342,36,1
